,title,press,url
0,정부 헛돈 썼나…해외 온실가스 저감 사업화 10%뿐,아시아경제언론사 선정,https://view.asiae.co.kr/article/2021092810523504050
1,[친절한 경제] 전기에 이어 가스도…줄줄이 오르는 공공요금,SBS언론사 선정,https://news.sbs.co.kr/news/endPage.do?news_id=N1006477174&plink=ORI&cooper=NAVER
2,"인천시, 해양자원 활용 온실가스 흡수 '블루카본' 사업 시작한다.",중소기업뉴스,http://www.kbiznews.co.kr/news/articleView.html?idxno=86906
3,지붕에 밝은색 페인트만 칠해도 온실가스 감축,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002776275&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
4,"BGF리테일, 자발적 온실가스 인벤토리 구축 나선다",뉴시스,http://www.newsis.com/view/?id=NISX20210926_0001593197&cID=13001&pID=13000
5,"제주, 10년간 전기차 운영에 따른 온실가스 감축은?",BBS NEWS,https://news.bbsi.co.kr/news/articleView.html?idxno=3045533
6,블룸버그 “세계적 에너지 대란으로 천연가스 수요 급증할 것”,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01702326629184712
7,"BGF리테일, 탄소중립 실현 첫 발…온실가스 인벤토리 구축·검증 박차",동아일보,https://www.donga.com/news/article/all/20210927/109437822/1
8,"산업계 ""혁신 개발 없이 온실가스 추가 감축 어렵다…탄소중립 국가차원 지원...",에너지경제,https://www.ekn.kr/web/view.php?key=20210928010004341
9,전기료 인상에 도시가스·철도·통행료 인상 요구…공공요금 줄줄이 '비상',대전일보,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1488588
